Number	Animacy	predicted
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X1	1	0
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X2	0	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X3	1	1
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X4	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X5	1	0
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X6	1	1
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X7	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X8	1	0
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X9	1	1
X10	1	0
X10	1	0
X10	1	0
X10	1	0
X10	1	0
X10	1	0
X10	1	0
X10	1	0
X10	1	0
X10	1	0
X10	1	0
X10	1	0
