animacy	predicted	real	average
1	1	1	2.52
1	1	0	2.81
0	1	1	3.26
0	1	0	2.67
1	1	1	2.93
1	1	0	3.33
0	1	1	3.89
0	1	0	3.44
1	1	1	3.37
1	1	0	3.74
0	1	1	3.85
0	1	0	3.56
1	0	0	4.04
1	0	1	3.78
0	0	1	2.44
0	0	0	2.33
1	0	1	1.26
1	0	0	1.70
1	0	0	4.41
1	0	1	4.41
1	0	0	3.70
1	0	1	3.52
0	0	0	4.30
0	0	1	4.56
1	0	0	3.04
1	0	1	2.19
0	0	0	1.30
0	0	1	1.41
1	1	1	3.26
1	1	0	3.41
1	0	1	2.89
1	0	0	2.48
1	1	1	3.63
1	1	0	3.56
1	0	0	3.30
1	0	1	3.11
1	1	1	1.56
1	1	0	1.33
1	0	0	1.48
1	0	1	1.22
1	1	1	4.56
1	1	0	3.85
1	0	0	4.52
1	0	1	3.74
1	1	0	4.52
1	1	1	4.81
1	1	1	4.00
1	1	0	3.70
